device,rmean,length,model,error,std,srate,q75,q90
all,30,1,0,0.2772550411802256,0.20515703893972487,0.9790575916230366,0.41171764422395063,0.5632273238043438
a650,31,1,0,0.26928635445032245,0.2068187041456782,0.7172774869109948,0.3964575782224117,0.5614864379980093
38b8,31,1,0,0.31378507724731847,0.23097959862750292,0.5706806282722513,0.4508387821208129,0.6314811259228649
14df,31,1,0,0.2825670120848306,0.22245268428661372,0.7460732984293194,0.4198762111483233,0.5963959050377456
d884,31,1,0,0.2935564545020448,0.2181942390649394,0.7329842931937173,0.4280300507507168,0.5905681862772482
all,31,1,0,0.2788604502494369,0.2021114761171985,0.9738219895287958,0.4143283820488638,0.5533638304436699
a650,0,2,0,0.30338421878745403,0.2019428493636899,0.9450261780104712,0.4398152750443438,0.5847272219031525
38b8,0,2,0,0.26942574203519765,0.18924245024590028,0.725130890052356,0.39474563852102723,0.5363369950688102
14df,0,2,0,0.23534125940027695,0.17871786188973066,0.9712041884816754,0.3387308253695705,0.48471532525863986
d884,0,2,0,0.2599782238677373,0.18861497957470852,0.9685863874345549,0.37708710874151785,0.5253370511405994
all,0,2,0,0.2581777905265572,0.18342279448838614,1.0,0.3774579581906351,0.5185376899351424
a650,1,2,0,0.30338421878745403,0.2019428493636899,0.9450261780104712,0.4398152750443438,0.5847272219031525
38b8,1,2,0,0.26942574203519765,0.18924245024590028,0.725130890052356,0.39474563852102723,0.5363369950688102
14df,1,2,0,0.23534125940027695,0.17871786188973066,0.9712041884816754,0.3387308253695705,0.48471532525863986
d884,1,2,0,0.2599782238677373,0.18861497957470852,0.9685863874345549,0.37708710874151785,0.5253370511405994
all,1,2,0,0.2581777905265572,0.18342279448838614,1.0,0.3774579581906351,0.5185376899351424
a650,2,2,0,0.28204915593084784,0.1944901886196774,0.9554973821989529,0.4054968677639289,0.5565943509134544
38b8,2,2,0,0.2579906256207707,0.18553277528652062,0.7303664921465969,0.37661156561824766,0.5166867200195847
14df,2,2,0,0.23423932083385698,0.1760865701546546,0.9869109947643979,0.3393048953089201,0.4744768835886774
d884,2,2,0,0.2517893317764605,0.1856226243369401,0.9842931937172775,0.3635760967341777,0.5100435418496531
all,2,2,0,0.25025869064190875,0.18156262794418118,1.0,0.3632875764597454,0.5025370737209486
a650,3,2,0,0.26559502016832515,0.19092316350546254,0.9842931937172775,0.3866816623248861,0.5362561793247971
38b8,3,2,0,0.24833047301289526,0.18486495165079664,0.7382198952879581,0.3615488510774626,0.5068260191156957
14df,3,2,0,0.225569287805674,0.1780733691794269,0.9921465968586387,0.3241238991202115,0.4650468014033392
d884,3,2,0,0.23361821824111345,0.17924364675083898,0.9842931937172775,0.33290633382614976,0.47789332703744714
all,3,2,0,0.24157337597362272,0.18240191381982554,1.0,0.3493338439350777,0.49652833092801935
